Dia,TempMinAbs,TempProm,TempMaxAbs,Hum,Precipitacion,RadSolar,RadSolarMaxAbs,IndiceUV,IndiceUVMaxAbs,DireccionVientoMax,VelocidadVientoMax,location
2011-12-01,10.4,13.09,16.5,84,0,92.44,828,0.49,5.3,NNW,8.45,1
2011-12-02,5,12.38,19.7,68.88,0,240.67,858,1.9,9,NNW,11.46,1
2011-12-03,5,10.7,17.3,60.62,0,244.29,868,1.92,9.2,N,25.48,1
2011-12-04,3.9,10.32,17.7,57.58,0,243.5,856,1.86,8.8,NNW,15.46,1
2011-12-05,6.4,12.01,18.6,70.62,0,235.83,860,1.9,9.1,ESE,19.07,1
2011-12-06,6.6,13.19,18.9,64.54,0,241.92,856,1.92,9,N,27.8,1
2011-12-07,9.9,12.82,16,73.46,0,225.62,875,1.96,9.8,N,64.54,1
2011-12-08,10.6,13,17.5,76.5,0,243.21,937,2.13,10.2,N,52.29,1
2011-12-09,10.2,13.37,18.1,69.71,0,240.75,875,2.01,9.5,NNW,36.6,1
2011-12-10,9.7,12.38,16.4,75.29,0,242.79,863,2.1,9.7,NNW,40.12,1
2011-12-11,9.7,13.79,18.6,66.79,0,232.5,886,2,9.8,NNW,31.3,1
2011-12-12,6.4,12.23,17.7,71.54,0,238.67,884,2.02,9.6,N,31.59,1
2011-12-13,10.5,12.62,15.7,69.75,0,240.62,949,2.06,9.8,N,59.55,1
2011-12-14,10,13.87,18.6,66.92,0,242.75,877,1.96,9.2,N,39.77,1
2011-12-15,9.1,13.32,17.8,70.83,0,196.38,923,1.57,8.6,NE,26.27,1
2011-12-16,8.8,13.45,18.7,76.62,0.2,214.12,1118,1.71,10.2,NNW,17.71,1
2011-12-17,10.3,13.04,16.7,70.33,0.2,213.08,928,1.85,9.6,NW,44.66,1
2011-12-18,10.3,12.55,16.3,71.88,0,240.38,858,2.09,9.9,N,53.64,1
2011-12-19,7.6,12.68,18,74.29,0.6,192.08,1056,1.72,10,ESE,19.3,1
2011-12-20,7.9,12.26,17.2,83,0,243.38,953,2.01,9.9,NNW,12.15,1
2011-12-21,8.6,13.42,20.4,74.38,0,233.04,882,2.06,9.9,N,17.72,1
2011-12-22,8.3,12.75,18.1,68.5,0,235.75,835,1.98,9.5,ESE,21.51,1
2011-12-23,8.9,14.51,18.2,56.17,0,190,1021,1.7,10,N,38.24,1
2011-12-24,12.1,14.36,18,72.71,0,230.67,882,1.97,9.5,N,43.77,1
2011-12-25,10.9,13.67,17.8,71.42,0,237.96,844,1.96,9.2,NNW,47,1
2011-12-26,11.1,13.47,18.7,72.79,0,237.54,844,2.04,9.6,N,45.24,1
2011-12-27,10.1,14.39,18.7,71.21,0,235.62,847,1.95,9.2,N,30.94,1
2011-12-28,10.9,13.47,18,70.67,0,227.62,853,1.9,9.1,NNW,39.22,1
2011-12-29,7.1,12.28,18.9,68.75,0,232.38,844,1.8,8.8,NNW,16.59,1
